name,2022/10/23,2022/10/22,2022/10/21,2022/10/20,2022/10/19,2022/10/18,2022/10/17,2022/10/16,2022/10/15,2022/10/14,2022/10/13,2022/10/12,2022/10/11,2022/10/10,2022/10/09,2022/10/08
Rune arrow(p++),3427,2476,7855,5095,2884,7535,2961,6130,2553,1335,3171,3427,2212,2363,3250,15207
Rune axe,25014,8971,15849,15012,9276,26261,13672,18205,6203,11756,17633,25014,12750,12846,20475,17435
Rune battleaxe,16776,6224,11204,9150,7054,18642,10699,11195,4581,8487,12314,16776,7580,7682,12267,10473
Rune boots,11105,4404,7822,6476,4631,11039,5904,7962,2432,4839,6743,11105,4222,5191,7849,6321
Rune chainbody,43391,16077,28331,22035,14158,39463,19834,26776,8843,17295,27378,43391,19610,21467,33200,25706
Rune claws,590,492,569,220,300,588,377,550,193,504,486,590,434,233,348,439
Rune dagger(p),3,1,2,1,2,5,1,0,0,0,1,3,0,0,2,66
Rune dagger(p+),765,688,681,475,427,891,529,1574,644,346,750,765,522,408,448,559
Rune dagger(p++),25,14,19,14,15,42,17,22,13,14,27,25,24,16,52,6
Rune dart,4907128,1790074,3510651,3125537,2143719,5407633,2620137,3277367,1486991,2710158,3540199,4907128,2730300,2489181,3644152,3095747
Rune dart(p+),3261,114,9,519,10515,6600,3400,301,0,500,1341,3261,200,40,41,201
Rune dart(p++),7758,5104,6779,1517,70,4883,8438,530,605,1478,9,7758,4946,4023,6471,2947
Rune essence,1650253,740905,1247060,607743,714780,1334283,1215973,1283115,362629,878877,1918736,1650253,738629,1964893,2367664,935210
Rune full helm,134163,51191,93146,74291,46994,136502,68036,100658,31351,61289,85108,134163,64452,64929,105075,86226
Rune full helm (g),309,109,214,124,101,278,114,199,56,136,188,309,164,144,218,162
Rune gold-trimmed set (lg),234,129,142,184,94,301,136,211,43,76,134,234,115,135,170,175
Rune halberd,16688,6759,11326,8795,6011,16008,6862,10364,2637,7044,10568,16688,6432,8581,12825,9548
Rune hasta(p),1,0,0,1,0,0,0,1,0,0,0,1,4,11,1,56
Rune hasta(p++),7,2,9,0,2,9,3,3,4,8,4,7,2,3,10,1
Rune helm (h2),213,70,106,88,56,139,126,123,41,86,131,213,85,95,222,84
Rune helm (h3),156,37,81,52,51,158,134,101,51,88,76,156,62,90,120,91
Rune javelin,1274290,293935,486854,572561,416513,913122,490517,623443,236987,534521,736536,1274290,427268,600950,807055,611093
Rune javelin heads,1389403,335270,692706,629562,416221,1208821,560546,984079,315891,623355,904614,1389403,652054,651183,1044476,691651
Rune javelin(p+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rune kiteshield,141883,46789,103954,79333,58451,145647,82927,111697,35941,66711,89879,141883,72516,67193,116798,90774
Rune kiteshield (g),267,110,209,179,96,283,141,201,65,136,171,267,135,127,208,192
Rune kiteshield (t),257,106,132,166,92,213,159,184,80,113,199,257,143,111,222,140
Rune knife(p),242,9,16,98,321,345,25,164,132,63,1938,242,176,746,675,36
Rune longsword,88164,27755,66790,52183,40459,96562,54204,71565,20169,42484,58132,88164,43359,40193,80508,52708
Rune mace,7392,2742,4646,3650,2185,9525,3227,8307,2423,3401,5709,7392,5286,4430,11883,5119
Rune pickaxe,30923,10440,23928,17431,11144,28146,14427,19454,6003,12087,19191,30923,12205,13262,23082,17467
Rune platebody,99169,36045,70316,54762,34301,104625,50952,76888,26361,45614,64857,99169,51341,47986,94371,65446
Rune platebody (g),310,110,218,157,118,288,227,223,73,119,213,310,156,199,245,192
Rune platebody (h3),13,8,15,8,7,28,6,17,3,6,9,13,7,12,17,11
Rune platebody (h4),15,5,12,10,4,20,4,5,6,8,12,15,8,2,14,8
Rune platebody (t),153,52,84,87,66,155,56,91,40,75,92,153,59,96,133,80
Rune platelegs (t),160,64,111,94,70,185,91,118,42,80,151,160,75,98,128,107
Rune plateskirt,34802,12161,23923,19870,10579,31509,16015,23900,6197,12306,20672,34802,14862,16672,25638,19851
Rune plateskirt (g),132,44,97,72,52,195,108,104,68,87,92,132,44,65,128,88
Rune scimitar,24074,9149,16874,13104,9909,25452,13638,19204,6552,10639,17207,24074,12201,11618,23426,15078
Rune scimitar ornament kit (guthix),169,69,131,114,76,206,88,134,43,75,102,169,97,71,150,137
Rune scimitar ornament kit (zamorak),217,101,181,128,80,276,128,162,59,139,161,217,110,84,174,154
Rune shield (h2),65,51,130,92,71,161,80,66,32,51,99,65,42,32,45,54
Rune shield (h4),65,33,59,54,52,202,161,113,54,54,73,65,30,30,73,182
Rune shield (h5),144,45,125,96,72,161,66,78,49,69,90,144,82,234,177,95
Rune spear,7047,2340,2707,2766,2104,6468,3676,3323,1142,2421,3543,7047,3314,2218,4392,3883
Rune spear(p++),7,8,8,8,3,10,2,5,1,3,6,7,2,1,2,3
Rune sq shield,21516,11056,13216,11406,8064,24569,15316,16318,6137,11919,15859,21516,11035,12153,15225,16367
Rune trimmed set (lg),145,76,59,46,50,95,86,88,46,69,69,145,37,60,80,57
Rune warhammer,75070,30368,51762,40824,28917,76721,40675,62748,19341,35074,49134,75070,35968,38498,71665,48392
Runescroll of swampbark,157,58,202,109,75,641,284,157,58,95,549,157,68,108,169,120
Runite bar,1522475,622897,1356493,962969,576404,1751176,902029,1286708,568804,816407,1238807,1522475,759481,819949,1517466,1145894
Runite bolts,5622836,1824086,3253447,2473751,1861660,4997546,2486361,3405776,1087225,2241368,3561652,5622836,2809873,2834070,4699841,3216861
Runite bolts (p+),346,70,1852,5749,878,2396,3079,2319,436,318,12788,346,120,7,391,299
Runite bolts (unf),623968,162615,341509,333633,169056,653801,273042,604878,85840,265742,426946,623968,235412,209815,437464,347175
Runite limbs,5234,1475,3278,4029,2074,3951,4245,2717,925,1865,2838,5234,1744,1803,4940,2635
Sacred oil(2),53,48,53,32,139,592,224,65,26,15,75,53,394,1093,236,141
Sacred oil(3),0,2,3,1,5,6,3,7,0,2,3,0,4,2370,3,1
Salmon,363125,192355,302607,217876,137784,446757,194648,364215,96755,168408,319295,363125,184610,179544,332427,225663
Saltpetre,2458011,1061070,1491442,1072976,810436,2965664,1349411,1735162,436486,1197827,1707170,2458011,1345952,1105898,2172558,1540077
Salve graveyard teleport,80556,13438,57753,47276,26194,54920,21561,46985,20660,60504,64898,80556,53608,35187,62743,49149
Samurai boots,68,41,47,34,24,78,45,53,17,36,54,68,30,27,57,42
Samurai kasa,65,45,54,44,40,81,70,69,21,47,78,65,32,43,82,45
Sandstone (1kg),30,10,0,6,2,9,142,4,2,4,4,30,6,7,23,15
Sandstone (5kg),171,27,48,46,16,98,50,88,30,46,110,171,50,62,67,40
Sandstone (10kg),316,143,286,174,93,440,179,226,83,260,302,316,292,112,277,273
Sandwich lady hat,74,21,41,32,18,52,27,33,20,22,55,74,31,28,58,40
Sandworms,1326151,470986,997713,633604,476214,1262561,623875,907715,282222,527582,938819,1326151,406449,561485,861096,688694
Sanfew serum(1),220,88,163,184,60,563,183,516,53,245,1528,220,171,95,1158,232
Sanfew serum(3),1031,340,639,822,497,1344,544,971,731,258,1000,1031,577,435,1066,1659
Sanguinesti staff (uncharged),1188,501,851,672,492,1340,655,913,328,557,923,1188,582,656,1053,838
Santa hat,3290,1087,2140,1661,1516,4147,2160,2842,879,1484,2499,3290,1124,1060,1875,1726
Sapphire,2286853,758087,1649423,1430655,978500,2397812,1519366,2019204,741362,979786,1318559,2286853,1272717,833580,2172337,2008201
Sapphire amulet,38676,5964,25293,19540,14609,44624,15678,32694,13294,11787,9441,38676,10840,13687,28377,6946
Sapphire bolts,211963,80946,94849,147187,81877,223930,136663,191666,57521,79043,131281,211963,70359,68391,163184,146047
Sapphire bolts (e),189828,109430,164459,182366,106883,228683,263537,172149,72834,115496,146778,189828,67570,105698,178181,94219
Sapphire dragon bolts (e),10354,3310,9156,6010,2130,5970,6483,14415,4041,9630,11490,10354,5274,14305,10106,3679
Sapphire necklace,885410,281208,731486,643024,414521,1183442,636097,1086009,298905,442962,596363,885410,392320,305233,918930,937499
Saradomin armour set (lg),287,152,174,234,159,273,157,200,65,153,233,287,142,137,212,234
Saradomin armour set (sk),32,31,25,55,19,30,14,16,8,10,49,32,10,17,9,30
Saradomin brew(2),5883,1879,4111,3790,2400,7292,3691,4423,1201,2825,3736,5883,2504,3367,4761,3573
Saradomin brew(3),417084,117939,279655,308549,154722,505906,271939,273787,134727,328077,288927,417084,331017,202077,231512,248413
Saradomin brew(4),1723000,731764,1253493,1020035,636214,1896406,1055457,1373262,532762,870604,1235590,1723000,915548,856535,1280618,1202818
Saradomin coif,493,283,437,369,243,638,321,413,174,265,387,493,262,280,459,367
Saradomin crozier,70,42,61,44,33,87,39,73,17,34,52,70,33,26,55,61
Saradomin d'hide body,820,327,612,509,364,856,512,643,253,454,629,820,474,443,663,582
Saradomin dragonhide set,116,44,57,59,36,104,57,82,22,59,70,116,43,40,72,52
Saradomin full helm,227,78,125,131,68,169,97,182,43,130,159,227,153,88,223,153
Saradomin godsword ornament kit,122,48,81,68,54,113,66,88,35,52,91,122,52,52,90,85
Saradomin kiteshield,176,69,124,101,82,214,92,144,50,130,159,176,101,95,185,153
Saradomin mitre,297,111,219,174,147,448,253,229,69,138,217,297,127,134,278,213
Saradomin page 1,433,142,281,249,158,437,219,245,76,212,260,433,187,203,302,259
Saradomin page 3,376,130,259,231,166,433,215,256,85,190,243,376,168,170,285,233
Saradomin page 4,401,112,261,214,144,404,234,268,81,198,264,401,174,175,257,230
Saradomin plateskirt,80,19,44,54,37,92,75,68,38,103,74,80,60,45,94,81
Saradomin robe top,146,41,115,88,79,165,120,160,52,70,102,146,69,77,148,117
Saradomin stole,162,48,101,104,67,178,99,179,40,92,134,162,80,73,95,77
Saradomin's light,118,37,46,50,39,107,45,55,27,40,64,118,49,37,62,66
Saradomin's tear,117,52,71,75,53,169,77,88,35,69,98,117,39,53,90,71
Sardine,41138,10239,55804,14832,8572,37717,10962,35456,6311,9923,50770,41138,15177,35909,59955,61528
Scythe of vitur (uncharged),638,248,418,339,263,660,370,526,209,318,527,638,342,364,436,409
Sea turtle,142036,52077,104293,170349,41910,128817,75521,87308,54877,61499,140205,142036,83415,139753,132182,88103
Seasoned sardine,455,116,150,112,154,225,128,384,85,239,325,455,276,257,359,331
Secateurs,1991,711,4966,2896,2026,4425,1998,3064,1129,1916,5102,1991,412,990,1596,2063
Security book,17376,5863,7805,9647,6730,17184,9009,14875,4179,8266,7680,17376,8125,8773,14471,10785
Seercull,516,233,837,360,215,563,290,287,119,198,406,516,301,253,333,319
Senntisten teleport,2602,571,1955,2282,1109,2709,2595,2130,2528,1980,2673,2602,821,1271,2586,1933
Serpentine helm (uncharged),2738,1050,2022,1632,1275,3088,1623,2119,767,1351,2047,2738,1342,1420,2146,1712
Serpentine visage,393,176,375,257,220,495,254,400,124,168,220,393,182,250,318,296
Serum 207 (3),67094,77318,27694,59188,25493,48876,10745,48177,12164,47064,28272,67094,33414,29039,30564,31942
Serum 207 (4),24500,33131,66971,25303,16602,35921,6701,22884,2851,8656,18396,24500,9332,16877,29975,30999
Shade robe top,284,44,194,103,100,140,123,154,101,48,128,284,337,195,295,141
Shaman mask,538,110,187,229,50,368,161,167,95,98,388,538,107,112,188,240
Shattered banner,11,3,5,0,6,16,6,3,1,5,7,11,4,4,6,6
Shattered boots (t2),4,0,1,2,1,2,2,2,0,0,1,4,1,1,2,3
Shattered boots (t3),10,3,6,7,2,7,5,4,0,3,3,10,2,5,2,9
Shattered cane,13,11,6,9,6,24,7,5,2,6,8,13,5,4,14,11
Shattered hood (t2),4,1,6,3,2,2,3,3,1,0,4,4,5,2,4,3
Shattered hood (t3),7,3,7,3,1,8,2,5,0,7,3,7,3,1,2,6
Shattered relic hunter (t1) armour set,8,4,8,9,7,11,5,2,2,5,6,8,7,11,9,9
Shattered relics mystic ornament kit,135,60,111,131,82,256,100,151,50,114,175,135,67,66,100,132
Shattered relics variety ornament kit,526,224,340,309,226,639,321,386,180,242,361,526,268,269,426,340
Shattered relics void ornament kit,1151,459,789,672,476,1313,612,952,368,501,781,1151,515,451,816,803
Shattered top (t2),2,0,1,2,2,1,1,1,0,1,1,2,1,1,3,3
Shattered top (t3),12,3,6,5,0,6,2,5,0,3,5,12,6,5,2,5
Shattered trousers (t1),12,7,5,4,3,10,5,5,0,4,24,12,5,2,8,6
Shayzien banner,79,30,50,75,20,62,28,32,16,34,54,79,27,33,41,56
Shears,9964,3513,10335,5689,3605,9493,5964,8527,2678,4980,8058,9964,4414,4843,4786,3578
