name,price,volume
Gilded d'hide chaps,11799164,64
Gilded d'hide vambraces,4062142,44
Gilded full helm,4550916,49
Gilded hasta,385068,11
Gilded med helm,620668,152
Gilded pickaxe,5565188,71
Gilded platelegs,5472232,73
Gilded scimitar,15119297,175
Gilded spade,3157117,91
Gin,100,3212
Glassblowing pipe,141,1599
Gloves of darkness,27786,125
Gnome scarf,629312,191
Gnome spice,189,27262
Gnomeball,12996,323
Goat horn dust,68,69642
Goblin book,576,177
Godsword blade,482951,214
Godsword shard 1,149280,304
Godsword shard 3,150110,337
Gold amulet (u),123,659631
Gold bar,94,17345651
Gold elegant blouse,1034,44
Gold elegant shirt,2468,51
Gold headband,1557,97
Gold locks,18125,772
Gold necklace,122,2927007
Gold ore,205,27372609
Gold seal,765,78479
Golden apron,174545,73
Golden scarab,1013,23818
Golden statuette,1314,3926
Gout tuber,815265,244
Graahk fur,649,44
Graahk legs,1295,22
Graahk top,1191,38
Grain,17,186298
Granite (5kg),622,1476
Granite (500g),15,331
Granite body,51670,708
Granite clamp,1503239,57
Granite hammer,90927,776
Granite helm,31698,202
Granite longsword,22177,764
Granite maul,57799,7457
Granite ring,15764,580
Grapes,24,24598339
Greater siren,105,17
Green boater,5138,85
Green cape,736,1652
Green d'hide body,4258,633651
Green d'hide body (t),4348,179
Green d'hide chaps (g),44900,539
Green d'hide shield,3151,416
Green dark bow paint,1132471,6
Green dragon leather,1541,4913200
Green dragonhide,1384,6769387
Green dye,584,752
Green elegant legs,11044,16
Green elegant shirt,21602,23
Green firelighter,100,17033
Green hat,760,250
Green headband,1265,91
Green robe bottoms,844,104
Green spiky vambraces,1940,19
Greenman's ale(m),34256,135
Greenmans ale(4),23254,38
Grey gloves,1497,658
Grey hat,1037,217
Grey robe bottoms,808,34
Grey toy horsey,212,98
Grimy avantoe,1555,472685
Grimy cadantine,1639,420161
Grimy harralander,639,456371
Grimy irit leaf,659,466133
Grimy marrentill,23,319526
Grimy ranarr weed,7415,948757
Grimy snapdragon,9449,570031
Grimy torstol,5964,460618
Grog,246,62
Ground guam,24,122
Guam potion (unf),106,399384
Guam seed,6,111922
Guardian boots,2049534,1374
Guthan's chainskirt,265916,414
Guthan's chainskirt 0,266116,40
Guthan's helm 0,314652,63
Guthan's platebody 0,301822,48
Guthan's warspear,400566,413
Guthan's warspear 0,398710,51
Guthix armour set (lg),160875,198
Guthix balance(2),425,1
Guthix balance(3),92,11
Guthix bracers,18351,335
Guthix cloak,12555,356
Guthix coif,63520,546
Guthix d'hide body,129675,900
Guthix d'hide shield,215492,67
Guthix full helm,27312,184
Guthix kiteshield,32909,121
Guthix mjolnir,1507,82
Guthix page 1,1732,403
Guthix page 2,1203,425
Guthix platebody,39347,240
Guthix platelegs,38528,157
Guthix plateskirt,38029,94
Guthix rest(3),1217,3936
Guthix rest(4),1933,56381
Guthix robe top,58436,99
Hair,246,2036
Half moon spectacles,33807,56
Halloween mask set,18289,827
Ham cloak,1947,1344
Ham gloves,1393,1241
Ham logo,2645,1267
Ham robe,611,948
Ham shirt,106,859
Hammer,61,66405
Hard leather,237,63671
Hard leather shield,116,54
Hardleather body,10,47997
Harpoon,95,2067
Harralander,663,388907
Harralander tar,4,846367
Hat eyepatch,26265,9
Heavy ballista,578726,1943
Helm of neitiznot,43798,12707
Highwayman mask,83647,28
Hill giant club,492487,443
Holy elixir,656187,97
Holy mould,5,79
Holy symbol,321,2618
Holy wraps,392311,163
Honourable blessing,5983,894
Hosidius hood,11391,43
Hosidius scarf,6915,21
Hunter potion(2),2480,36
Hunter potion(4),5789,8020
Hunters' crossbow,1482,227
Hunting mix(2),457,77
Hydra leather,4865387,994
Hydra tail,62509,224
Ice plateau teleport,1245,4250
Imp mask,11510,28
Impling jar,924,1075750
Incomplete heavy ballista,118005,0
Infinity boots,417494,6523
Infinity bottoms,3759481,210
Infinity gloves,1061494,200
Initiate cuisse,4566,701
Initiate harness m,24191,119
Initiate hauberk,5756,751
Inquisitor's armour set,200745557,349
Inquisitor's great helm,51596179,174
Inquisitor's hauberk,65848939,200
Insect repellent,93,84
Insulated boots,410,361
Irit leaf,671,300945
Irit seed,39,49554
Iron arrow,2,8774556
Iron arrow(p),46,59
Iron arrowtips,7,1019446
Iron axe,109,8141
Iron bar,199,1076833
Iron bolts (p),176,35
Iron bolts (p+),259,0
Iron bolts (p++),719,705
Iron boots,3640,540
Iron chainbody,178,5397
Iron claws,81,69
Iron dagger,88,12472
Iron dagger(p),123,2
Iron dagger(p+),1594,235
Iron dart (p),38,0
Iron dart tip,37,964658
Iron dart(p+),33,0
Iron full helm,132,6236
Iron full helm (g),190857,130
Iron full helm (t),57221,79
Iron gold-trimmed set (sk),860774,13
Iron hasta,17,16
Iron hasta(p),3055,1
Iron hasta(p++),3497,0
Iron javelin,6,2200
Iron javelin(p),27,0
Iron javelin(p++),14,0
Iron kiteshield,94,7834
Iron kiteshield (t),31714,80
Iron knife(p),212,2
Iron knife(p+),221,9
Iron knife(p++),1204,103
Iron mace,85,1284
Iron med helm,108,3164
Iron ore,138,15269043
Iron platebody,106,60898
Iron platebody (g),341119,105
Iron platebody (t),83211,87
Iron platelegs (t),26303,55
Iron plateskirt,92,1164
Iron plateskirt (g),7875,40
Iron plateskirt (t),3543,44
Iron set (sk),958,231
Iron spear,615,491
Iron spear(p),1251,0
Iron spear(p++),5886,2
Iron sq shield,100,987
Iron sword,98,5557
Iron trimmed set (sk),266914,5
Iron warhammer,83,9508
Ivory comb,435,219
Jade amulet (u),750,35628
Jade bolt tips,26,96378
Jade bracelet,651,633
Jade dragon bolts (e),1686,4058
Jade necklace,759,16350
Jangerberries,288,46905
Jar of chemicals,28472,30
Jar of darkness,9020632,7
Jar of dreams,819280,7
Jar of eyes,141433,4
Jar of miasma,28193,12
Jar of souls,50593,43
Jar of spirits,110502,29
Javelin shaft,1,1719872
Jester cape,48667,209
Jogre bones,1059,1095
Jug of wine,3,8373879
Jungle camo legs,972,10
Jungle camo top,966,31
Jungle demon mask,100677,52
Justiciar faceguard,10887560,717
Justiciar legguards,9301151,684
Jute fibre,1161,150645
Karil's armour set,2769193,339
Karil's coif,61734,1039
Karil's crossbow,101085,526
Karil's leatherskirt,432386,2303
Karil's leatherskirt 0,345969,372
Katana,85197,68
Kebab,47,179479
Kebab mix,260,0
Kebbit claws,506,213
Kebbit teeth,4123,3454
Kebbit teeth dust,4678,5823
Keg of beer,617,4427
Khazard teleport,817,6190
King worm,524,14010
Knife,46,25293
Kodai insignia,77750335,14
Kodai wand,70944082,940
Kovac's grog,62232,1074
Krandorian seed,3,322406
Kwuarm,1484,295890
Kyatt fur,1482,78
Kyatt hat,5937,35
Kyatt legs,3006,40
Lantadyme potion (unf),1470,919167
Lantadyme seed,454,21976
Lantern lens,8,1783502
Larupia hat,1522,87
Larupia legs,1029,56
Lassar teleport,1047,5060
Lava dragon bones,3435,273385
Lava dragon mask,2165260,7
Lava scale shard,135,1593783
Lava staff upgrade kit,765415,35
Leaf-bladed sword,40279,785
Lean snail,2464,41
Lean snail meat,3133,231
Leaping salmon,9,38151
Leather,278,917847
Leather body,32,50245
Leather body (g),89029,115
Leather chaps (g),16574,70
Leather cowl,14,8572
Leather vambraces,11,18385
Lemon,71,7554
Lemon chunks,111,100
Leprechaun hat,6178,52
Lesser demon mask,22844,36
Light bow tie,68540,7
Light infinity colour kit,4011,76
Light trousers,227768,10
Light tuxedo cuffs,112615,12
Lightbearer,20766374,2475
Lily of the sands,1758,155440
Lime,53,5692
Limestone,130,13532
Limestone brick,168,30602
Linen,682,194
Lizardman fang,18,2514608
Lobster,200,2309219
Lockpick,296,67350
Locust meat,29,8
Logs,76,1314855
Longbow,44,24048
Longbow (u),14,139396
Loop half of key,10570,22386
Lovakengj banner,1670,72
Lovakengj scarf,6313,30
Lumberyard teleport,4937,18807
Lunar isle teleport,3762,14842
Machete,397,428
Magic bird house,1858,44254
Magic box,644,1238
Magic comp bow,5014,448
Magic fang,3813690,565
Magic longbow,1265,5011816
Magic mix(1),473,2
Magic mix(2),411,14
Magic potion(3),57,178559
Magic potion(4),84,275719
Magic pyre logs,2944,6628
Magic roots,2964,5838
Magic shield,468,532
Magic shortbow,829,217251
Magic staff,152,2229
Magic stock,351,332
Magic stone,989415,524
Mahogany bird house,1280,12849
Mahogany plank,1903,10598719
Mahogany pyre logs,1997,235
Mahogany stock,28,1755
Malediction shard 2,522000,36
Malediction shard 3,69675,42
Malediction ward,1495058,656
Manta ray,951,2957639
Maple blackjack,1937,336
Maple blackjack(d),2253,41
Maple logs,7,20711261
Maple longbow (u),75,5221316
Maple roots,55,3157
Maple sapling,15524,36404
Maple shield,9,36517
Maple shortbow (u),69,347948
Marble block,332459,3929
Marigold seed,2,149703
Marrentill,28,338118
Marrentill potion (unf),55,26514
Marrentill tar,1,1219240
Masori armour set (f),672995636,185
Masori body (f),328181597,354
Masori chaps (f),274023708,334
Masori mask,54259598,358
Master scroll book (empty),164071,776
Master wand,3388123,1291
Mature wmb,11915,3
Meat pizza,446,5111
Menaphite purple hat,698,114
Menaphite purple kilt,1179,42
Menaphite purple top,1018,105
Menaphite red kilt,241,2
Menaphite remedy(1),2000,113
Menaphite remedy(2),4000,14
Menaphite remedy(4),6747,294937
Minced meat,267,0
Mind altar teleport,2404,14103
Mind bomb(m4),25370,1
Mind rune,3,42006035
Mind talisman,696,16623
Mining helmet,441,381
Mirror shield,3006,657
Mist battlestaff,39448,430
Mith grapple,1028,4073
Mithril arrow,3,19843844
Mithril arrow(p),116,2901
Mithril arrow(p+),192,2155
Mithril axe,98,8464
Mithril bar,603,11351985
Mithril bolts,68,1673991
Mithril bolts (p++),1006,1864
Mithril bolts (unf),74,784352
Mithril boots,772,678
Mithril chainbody,987,8563
Mithril crossbow,689,1065
Mithril crossbow (u),417,129
Mithril dagger(p+),3690,0
Mithril dagger(p++),3550,7
Mithril dart,4,22910173
Mithril dart tip,80,20051738
Mithril dart(p++),597,55
Mithril dragon mask,7265,26
Mithril full helm,705,6630
Mithril full helm (t),1618,267
Mithril gold-trimmed set (sk),30656,104
Mithril halberd,6397,6
Mithril hasta(p+),9582,0
Mithril javelin,13,17457
Mithril javelin(p+),21,0
Mithril javelin(p++),25,0
Mithril kiteshield,1034,33273
Mithril knife,133,258924
Mithril knife(p),328,81
Mithril knife(p++),1086,60
Mithril mace,165,4565
Mithril med helm,293,5792
Mithril ore,133,9975955
Mithril platebody,2772,287998
Mithril platebody (t),3733,162
Mithril platelegs,1274,22858
Mithril platelegs (t),2043,153
Mithril plateskirt,1296,7834
Mithril scimitar,419,14070
Mithril seeds,398,94543
Mithril set (lg),6861,403
Mithril spear(p),287,36
Mithril spear(p+),6092,0
Mithril spear(p++),5068,0
Mithril thrownaxe,155,23
Mithril trimmed set (sk),28106,85
Mithril warhammer,818,18841
Mole skin,6574,121728
Mole slippers,366941,331
Molten glass,102,11306194
Monk's robe (g),1685718,35
Monk's robe top,270,15719
Monk's robe top (g),4046134,45
Monkey bar,533,2358
Monkey bones,337,9519
Monkey tail,244691,203
Monocle,20604,29
Moonclan teleport,869,7249
Moonlight mead(4),77269,20
Moonlight mead(m),4535,0
Mort myre fungus,355,1312156
Mort myre stem,541,459
Mos le'harmless teleport,740,12021
Mottled eel,82,86
Mud battlestaff,28154,961
Muddy key,4004,453
Mummy's body,874347,13
Mummy's feet,292425,18
Mummy's hands,295702,9
Mushroom,92,21622
Mushroom & onion,253,7
Mushroom pie,1316,2177
Mushroom spore,68,9745
Musketeer hat,89384,83
Musketeer tabard,60108,32
Mystic air staff,25037,12303
Mystic boots,5554,6275
Mystic boots (dark),92230,316
Mystic dust staff,56961,243
Mystic fire staff,25029,5412
Mystic gloves (dark),5775,284
Mystic gloves (light),5571,190
Mystic hat,15576,1402
Mystic hat (dusk),95494,93
Mystic lava staff,26234,1556
Mystic mud staff,61759,228
Mystic robe bottom,48065,4108
Mystic robe bottom (dusk),202770,135
Mystic robe bottom (light),48062,1044
Mystic robe top (dark),72762,3270
Mystic robe top (light),71344,952
Mystic set (dusk),697917,25
Mystic set (light),164054,120
Mystic smoke staff,1286244,1045
Mystic water staff,25103,5586
Nardah teleport,11006,19816
Nasturtium seed,1,60298
Nature impling jar,5071,44980
Nature rune,165,60171769
Nature tiara,40,1940
Necklace mould,161,810
Necklace of faith,702,500
Necklace of passage(5),998,35480
Neitiznot shield,2337,608
Nihil dust,2014,76985
Nihil shard,3109,66863
Ninja impling jar,34858,15098
Numulite,24,7444777
Oak bird house,994,1982
Oak blackjack(d),462,0
Oak logs,52,7546551
Oak longbow,41,15962
Oak longbow (u),19,118611
Oak pyre logs,1169,2588
Oak roots,69,2050
Oak sapling,250,20272
Oak shortbow,41,11215
Oak shortbow (u),5,62062
Obsidian armour set,2257836,555
Obsidian cape,537503,2013
Obsidian helmet,544935,735
Obsidian platelegs,756206,1864
Occult necklace,354303,4380
Odium shard 2,810094,47
Odium ward,1995971,930
Ogre arrow,173,197571
Ogre coffin key,1831,3313
Oil lantern,437,236
Oil lantern frame,63,69
Old demon mask,18935,52
Olive oil(2),29,1
Olive oil(3),39,2
Olive oil(4),41,9257
Onion & tomato,12,1
Onion seed,1,1367939
Onyx,2162022,120
Onyx amulet (u),2044853,0
Onyx bolts,8654,506988
Onyx bolts (e),8630,982219
Onyx dragon bolts,9929,8131
Onyx necklace,1884058,1
Opal,506,181893
Opal amulet,457,38
Opal bolt tips,56,226355
Opal bolts (e),16,46532
Opal dragon bolts,2000,31750
Opal dragon bolts (e),1978,769172
Opal ring,521,29
Orange boater,2770,116
Orange cape,1142,239
Orange chunks,96,6
Orange feather,16,238639
Orange salamander,125,1807
Orange slices,120,218
Oranges(5),305,47417
Osmumten's fang,95298856,2692
Ourania teleport,614,2944
Oyster pearl,99,5566
Oyster pearls,1053,601
Paddewwa teleport,1256,1511
Palm tree seed,33944,30196
Papaya fruit,1090,622578
Papaya sapling,2810,57836
Partyhat & specs,730946,134
Partyhat set,48164,1512
Pastry dough,208,169092
Pearl bolt tips,53,60285
Pearl bolts,81,135231
Pearl dragon bolts,1999,0
Pegasian boots,30976178,2163
Penguin mask,15453,91
Pest control teleport,338,14753
Phoenix necklace,2124,123580
Phrin remains,1782,3108
Pie shell,389,211841
Pike,27,12855
Pile of salt,175,2
Pineapple pizza,710,596327
Pineapple punch,49,72
Pineapple ring,71,361142
Pink boater,985,225
Pink boots,685,182
Pink cape,2572,22
Pink elegant legs,980,35
Pink elegant skirt,3634,51
Pink hat,539,1047
Pink robe top,841,107
Pink skirt,53,3445
Pirate boots,470,1041
Piscarilius banner,3574,88
Piscarilius hood,11794,50
Piscarilius scarf,15777,22
Pith helmet,4097,105
Pitta bread,52,987
Plank,251,664142
Poison chalice,1748,61
Poison ivy seed,13,24547
Polar camo legs,7151,56
Polar camo top,6901,224
Pot,8,847210
Pot of cornflour,1176,480
Pot of cream,65,2652
Potato,58,320579
Potato cactus,163,1654289
Potato with butter,432,5862
Potato with cheese,217,252660
Potatoes(10),926,1022
Pottery scarab,92,13501
Prayer mix(2),5475,466
Prayer potion(1),2471,10204
Prayer potion(2),4935,14097
Prayer potion(4),10564,1837557
Premade c+t batta,46,1
Premade ch' crunch,50,5
Premade dr' dragon,28,49
Premade fr' blast,32,3
Premade s'y crunch,44,9647
Premade sgg,26,0
Premade t'd batta,41,0
Premade veg ball,46,1
Premade w'm batta,42,1
Premade wiz blz'd,24,0
Premade worm hole,50,2
Proboscis,174,1657
Proselyte cuisse,6964,1303
Proselyte harness m,27913,220
Proselyte sallet,4351,832
Pumpkin,9834,2002
Pure essence,1,128897378
Purple cape,937,183
Purple dye,563,1205
Purple elegant blouse,1543,87
Purple elegant shirt,2621,55
Purple firelighter,105,16534
Purple gloves,705,712
Purple hat,486,210
Purple robe bottoms,677,6
Purple sweets,5728,487427
Pyre logs,1328,2268
Pyrophosphite,44,21885
Rain bow,141680,45
Rainbow fish,101,8799
Rake,155,5655
Ranarr potion (unf),7642,1510825
Ranarr weed,7394,625819
Ranger gloves,460142,247
Rangers' tights,176095,174
Ranging mix(1),472,242
Ranging mix(2),222,1217
Ranging potion(2),383,12077
Ranging potion(4),647,901841
Raurg bones,6746,100
Raw anchovies,49,107300
Raw bass,23,2166895
Raw bear meat,264,40969
Raw bird meat,21,13279
Raw boar meat,515,1436
Raw cave eel,191,2509
Raw cod,34,8151
Raw dark crab,1021,74995
Raw herring,130,37669
Raw jubbly,458,1847
Raw karambwan,303,2966704
Raw manta ray,777,725868
Raw monkfish,194,2259903
Raw oomlie,2149,60
Raw pike,132,38778
Raw rabbit,181,2376
Raw salmon,54,358216
Raw sardine,57,107112
Raw sea turtle,644,182720
Raw shark,601,7967594
Raw summer pie,1177,182294
Raw swordfish,231,1462632
Raw ugthanki meat,1826,79
Raw wild pie,3384,559
Raw yak meat,66,69
Red beret,10895,34
Red boots,1199,677
Red cape,97,5373
Red chinchompa,987,7116851
Red d'hide body (g),6096,115
Red d'hide body (t),6189,49
Red d'hide chaps (g),5746,353
Red d'hide shield,6876,1079
Red d'hide vambraces,1787,5217
Red dragonhide,2316,1353826
Red dragonhide set,12028,298
Red elegant legs,10562,22
Red elegant shirt,16129,18
Red elegant skirt,1144,14
Red flowers,88,512
Red gloves,800,730
Red halloween mask,5875,1469
Red hat,1578,448
Red partyhat,4222,1890
Red robe bottoms,852,30
Red salamander,89,2337
Red spiky vambraces,1727,3402
Red topaz machete,19467,313
Redberries,35,49121
Redberry seed,2,302599
Redwood logs,314,1953304
Redwood pyre logs,2398,71232
Redwood tree seed,28072,2560
Regen bracelet,2166949,1502
Relicym's balm(2),368,122
Relicym's balm(3),571,87
Relicym's mix(1),270,30
Restore mix(1),242,3
Restore potion(1),29,145
Restore potion(2),59,60
Revenant cave teleport,684,322643
Revenant ether,173,41662624
Ring mould,128,1286
Ring of 3rd age,1501731,164
Ring of dueling(8),646,452825
Ring of forging,1008,26133
Ring of nature,10602674,28
Ring of returning(5),824,528
Ring of stone,1335612,35
Ring of the elements,713714,230
Ring of wealth,12070,141972
Ring of wealth (5),14763,164882
Riyl remains,2050,1650
Roast rabbit,125,0
Robe bottom of darkness,50369,142
Rock hammer,549,181
Rock thrownhammer,221,60219
Rock-shell chunk,12242,52
Rock-shell helm,23515,23
Rock-shell legs,38415,437
Rock-shell splinter,22433,48
Roe,67,1669
Rolling pin,18331,143
Rosemary seed,2,46353
Royal crown,144962,56
Royal gown top,77955,49
Ruby,798,2301700
Ruby amulet,1127,144532
Ruby bolt tips,85,2942847
Ruby bolts (e),210,2737712
Ruby bracelet,1188,281279
Ruby dragon bolts,1771,1192642
Ruby necklace,1064,953459
Ruby ring,1040,95318
Rune armour set (lg),130481,1325
Rune arrow,119,22480735
Rune arrow(p),161,37384
Rune arrow(p++),695,3427
Rune axe,7222,25014
Rune battleaxe,24519,16776
Rune boots,7293,11105
Rune chainbody,29474,43391
Rune claws,9596,590
Rune dagger(p),5649,3
Rune dagger(p+),4329,765
Rune dagger(p++),8501,25
Rune dart,387,4907128
Rune dart(p+),939,3261
Rune dart(p++),1004,7758
Rune essence,11,1650253
Rune full helm,20508,134163
Rune full helm (g),87356,309
Rune gold-trimmed set (lg),344434,234
Rune halberd,37551,16688
Rune hasta(p),20240,1
Rune hasta(p++),18609,7
Rune helm (h2),21927,213
Rune helm (h3),22099,156
Rune javelin,144,1274290
Rune javelin heads,639,1389403
Rune javelin(p+),620,0
Rune kiteshield,31805,141883
Rune kiteshield (g),107872,267
Rune kiteshield (t),37146,257
Rune knife(p),541,242
Rune longsword,18642,88164
Rune mace,8234,7392
Rune pickaxe,18657,30923
Rune platebody,38413,99169
Rune platebody (g),63881,310
Rune platebody (h3),39936,13
Rune platebody (h4),40701,15
Rune platebody (t),42858,153
Rune platelegs (t),43289,160
Rune plateskirt,37911,34802
Rune plateskirt (g),38669,132
Rune scimitar,15065,24074
Rune scimitar ornament kit (guthix),13006,169
Rune scimitar ornament kit (zamorak),38913,217
Rune shield (h2),36462,65
Rune shield (h4),35251,65
Rune shield (h5),34784,144
Rune spear,11991,7047
Rune spear(p++),19547,7
Rune sq shield,22551,21516
Rune trimmed set (lg),170922,145
Rune warhammer,24485,75070
Runescroll of swampbark,2126,157
Runite bar,12442,1522475
Runite bolts,257,5622836
Runite bolts (p+),628,346
Runite bolts (unf),306,623968
Runite limbs,9270,5234
Sacred oil(2),1049,53
Sacred oil(3),1925,0
Salmon,64,363125
Saltpetre,6,2458011
Salve graveyard teleport,2129,80556
Samurai boots,34621,68
Samurai kasa,31914,65
Sandstone (1kg),2,30
Sandstone (5kg),23,171
Sandstone (10kg),1986,316
Sandwich lady hat,4317,74
Sandworms,99,1326151
Sanfew serum(1),9873,220
Sanfew serum(3),30519,1031
Sanguinesti staff (uncharged),89459374,1188
Santa hat,10535,3290
Sapphire,203,2286853
Sapphire amulet,458,38676
Sapphire bolts,105,211963
Sapphire bolts (e),14,189828
Sapphire dragon bolts (e),1657,10354
Sapphire necklace,414,885410
Saradomin armour set (lg),276672,287
Saradomin armour set (sk),344103,32
Saradomin brew(2),5144,5883
Saradomin brew(3),8052,417084
Saradomin brew(4),11486,1723000
Saradomin coif,50477,493
Saradomin crozier,7346,70
Saradomin d'hide body,236964,820
Saradomin dragonhide set,786772,116
Saradomin full helm,72884,227
Saradomin godsword ornament kit,925843,122
Saradomin kiteshield,55089,176
Saradomin mitre,27693,297
Saradomin page 1,1705,433
Saradomin page 3,1268,376
Saradomin page 4,1413,401
Saradomin plateskirt,38335,80
Saradomin robe top,190480,146
Saradomin stole,5667,162
Saradomin's light,101602,118
Saradomin's tear,5672360,117
Sardine,12,41138
Scythe of vitur (uncharged),376143237,638
Sea turtle,809,142036
Seasoned sardine,554,455
Secateurs,48,1991
Security book,61,17376
Seercull,17123,516
Senntisten teleport,1709,2602
Serpentine helm (uncharged),3823625,2738
Serpentine visage,3777088,393
Serum 207 (3),10,67094
Serum 207 (4),18,24500
Shade robe top,604,284
Shaman mask,6855,538
Shattered banner,24292,11
Shattered boots (t2),193641,4
Shattered boots (t3),260679,10
Shattered cane,217327,13
Shattered hood (t2),219903,4
Shattered hood (t3),353112,7
Shattered relic hunter (t1) armour set,444176,8
Shattered relics mystic ornament kit,34149,135
Shattered relics variety ornament kit,695550,526
Shattered relics void ornament kit,618835,1151
Shattered top (t2),195970,2
Shattered top (t3),294180,12
Shattered trousers (t1),160843,12
Shayzien banner,856,79
Shears,30,9964
Shield left half,65815,1013
Shield right half,772951,159
Shortbow,53,3276
Shortbow (u),6,11846
Shoulder parrot,161168,211
Shrunk ogleroot,257,240
Sickle mould,16,40
Silk,31,63469
Silver bolts,6,106099
Silver bolts (p),42,10
Silver bolts (unf),8,691
Silver dust,216,133
Silver locks,10681,19
Silver ore,54,5762193
Sinister key,31722,1946
Skeletal boots,42911,14
Skeletal helm,93244,17
Skeletal top,26285,167
Skewer stick,15,2637
Skills necklace,12109,23991
Skills necklace(6),12955,26375
Skull piece,74034,6
Slayer bell,131,16
Slayer's respite,32,7697
Slayer's respite(m4),222576,3
Slayer's respite(m),50981,5
Sliced banana,57,203
Sliced mushrooms,97,1117
Smoke rune,90,3781647
Smouldering stone,5763315,403
Snakeskin,15,1064260
Snakeskin bandana,203,19328
Snakeskin body,578,3057
Snakeskin boots,284,30730
Snakeskin vambraces,189,408
Snapdragon,9492,538388
Snape grass,252,2471883
Snape grass seed,2081,233347
Soda ash,48,29068
Soft clay,149,4593569
Spade,109,61749
Spectral sigil,72753710,9
Spectral spirit shield,54711988,769
Spice,36,11639
Spicy sauce,463,89
Spicy tomato,341,181
Spider carcass,113,4880
Spiked boots,3443,307
Spiked manacles,473431,1922
Spiky vambraces,12,15
Spined body,4228,49
Spined boots,7149,27
Spined gloves,2871,13
Spiny helmet,939,338
Split log,960,3420
Splitbark boots,7359,126
Splitbark gauntlets,2496,1248
Splitbark legs,23686,1037
Spork,292,2
Spottier cape,1262,332
Staff of air,1664,8384
Staff of earth,797,6436
Staff of fire,1548,6492
Staff of the dead,3825640,369
Stale baguette,1805849,58
Stamina mix(2),2802,382
Stamina potion(1),1368,101220
Stamina potion(3),3790,37277
Steam battlestaff,38476,308
Steam rune,81,1516564
Steam staff upgrade kit,800016,39
Steel arrow,7,7063509
Steel arrow(p++),1029,5002
Steel arrowtips,38,3705230
Steel bar,380,21499725
Steel battleaxe,198,8502
Steel bolts (p),140,0
Steel bolts (p++),774,962
Steel boots,98,79
Steel brutal,114,16097
Steel crossbow,86,73
Steel crossbow (u),103,1148
Steel dagger(p),394,0
Steel dagger(p++),4639,1
Steel dart,2,4136927
Steel dart(p+),70,0
Steel dart(p++),81,0
Steel full helm (g),24015,46
Steel gold-trimmed set (lg),84503,20
Steel gold-trimmed set (sk),119759,1
Steel hasta(p),8214,0
Steel hasta(p+),9664,0
Steel hasta(p++),7910,1
Steel javelin heads,56,3429
Steel javelin(p+),13,0
Steel javelin(p++),31,0
Steel kiteshield (g),14083,43
Steel kiteshield (t),6604,41
Steel knife,57,94308
Steel knife(p++),392,3224
Steel limbs,96,1607
Steel mace,54,3828
Steel nails,17,2207258
Steel pickaxe,841,2776
Steel platebody (g),24265,51
Steel platebody (t),6267,22
Steel platelegs (g),6010,41
Steel plateskirt,362,3702
Steel plateskirt (g),6832,62
Steel scimitar,200,12521
Steel set (sk),2258,6
Steel spear,25,127
Steel spear(p),162,10
Steel sq shield,165,1748
Steel studs,313,225
Steel sword,106,2262
Steel thrownaxe,51,10
Steel warhammer,153,11680
Stew,75,107077
Stone statuette,200,72006
Stony basalt,824,44627
Strange fruit,385,12341
Strawberries(5),727,19322
Strawberry seed,3,141449
Strength amulet (t),15243,1356
Strength mix(1),331,0
Strength potion(2),162,3731
Strength potion(3),241,38069
Stretched hide,2921,8
Stronghold notes,168,226
Studded body,364,4010
Studded body (g),28769,107
Studded chaps,282,5809
Studded chaps (g),20014,56
Studded chaps (t),6927,45
Super antifire mix(1),402,0
Super antifire mix(2),1400,0
Super antifire potion(1),2562,111
Super antifire potion(3),8750,160
Super attack(1),42,5136
Super attack(2),86,674
Super attack(4),203,598030
Super combat potion(2),5382,17048
Super combat potion(4),10087,757490
Super def. mix(1),270,5
Super defence(2),554,437
Super defence(3),966,249189
Super energy mix(2),1023,27
Super energy(1),497,1307
Super energy(2),1074,3916
Super energy(3),1435,341768
Super potion set,4147,14490
Super restore mix(1),4107,0
Super restore(1),3246,7329
Super restore(3),9194,333393
Super str. mix(2),497,25
Super strength(1),458,1107
Super strength(3),1487,276982
Superantipoison(2),136,306
Superantipoison(3),210,14665
Superantipoison(4),250,48919
Superattack mix(2),128,1429
Supercompost,377,250755
Swamp paste,6,2482513
Swamp tar,7,13716709
Swamp weed,273,111
Swampbark gauntlets,26093,64
Swampbark helm,63925,76
Swampbark legs,119558,154
Swift blade,9503071,104
Swordfish,292,1786702
Tanzanite fang,3916701,389
Target teleport,3138,1456
Target teleport scroll,7619766,0
Tarromin,110,515863
Tarromin tar,1,6694993
Tatty graahk fur,195,17
Te salt,61,379309
Teak bird house,1144,6718
Teak logs,142,2086522
Teak plank,751,3564946
Teak seed,60,10836
Teak stock,32,2844
Teal boots,703,65
Teal robe bottoms,419,7
Teal robe top,591,7
Team cape x,1710601,110
Team-1 cape,672,387
Team-2 cape,397,84
Team-3 cape,200,915
Team-4 cape,440,34
Team-7 cape,148,27
Team-8 cape,258,10
Team-9 cape,137,2084
Team-11 cape,585,52
Team-13 cape,290,106
Team-15 cape,934,260
Team-16 cape,70,741
Team-17 cape,220,570
Team-20 cape,201,176
Team-21 cape,519,24
Team-22 cape,426,42
Team-23 cape,222,142
Team-26 cape,58,419
Team-27 cape,157,788
Team-29 cape,223,577
Team-30 cape,219,639
Team-32 cape,224,204
Team-33 cape,227,51
